"name","sub","size"
"MSOL INC","Office of the Chief Financial Officer",968924.5
"TFC CONSULTING INC","Office of the Chief Financial Officer",926988.45
"DYNAMIS INC","Office of the Chief Financial Officer",910214.4
"ERNST & YOUNG LLP","Office of the Chief Financial Officer",866123.13
"CRISIS1 LLC","Office of the Chief Financial Officer",854095.36
"AMERICAN LEGACY CONSTRUCTION GROUP INC","Office of the Chief Financial Officer",851443.3
"DYNAMIC SYSTEMS INC","Office of the Chief Financial Officer",816412.96
"INTELLIGENT FISCAL OPTIMAL SOLUTIONS LLC","Office of the Chief Financial Officer",787929.64
"TRAINING CONNECTION INCORPORATED 6903","Office of the Chief Human Capital Officer",539615.96
"MEDIC FIRST AID INTERNATIONAL INCORPORATED","Office of the Chief Human Capital Officer",444000
"CORPORATE EXECUTIVE BOARD COMPANY THE","Office of the Chief Human Capital Officer",388982
"KARSUN SOLUTIONS LLC","Office of the Chief Human Capital Officer",362526.4
"LRP PUBLICATIONS INC","Office of the Chief Human Capital Officer",117397
"COMPSYCH EMPLOYEE ASSISTANCE PROGRAMS INC","Office of the Chief Human Capital Officer",97200
"THE EFX COMPANY","Office of the Chief Human Capital Officer",90965
"OMNI HOTELS MANAGEMENT CORPORATION","Office of the Chief Human Capital Officer",77507.24
"TCS INTERPRETING INC","Office of the Chief Human Capital Officer",46800
"MYTHICS INC","Office of the Chief Human Capital Officer",26103.29
"SKILLSOFT PLC","Office of the Chief Information Officer",920490.39
"LS3 INCORPORATED","Office of the Chief Information Officer",899991.18
"KADIX SYSTEMS LIMITED LIABILITY COMPANY","Office of the Chief Information Officer",815576.97
"COURSEAVENUE LLC","Office of the Chief Information Officer",809705.77
"DUN & BRADSTREET INC","Office of the Chief Information Officer",803086.54
"INSTITUTE OF ELECTRICAL AND ELECTRONICS ENGINEERS INCORPORATED THE","Office of the Chief Information Officer",751662
"AVNET GOVERNMENT SOLUTIONS LLC","Office of the Chief Information Officer",730898.6
"ASE DIRECT INC","Office of the Chief Information Officer",685546.16
"STERLING COMPUTERS CORPORATION","Office of the Chief Information Officer",683088.3
"MA FEDERAL INC","Office of the Chief Information Officer",675571.08
"SUNDT CONSTRUCTION INC","Office of the Chief Procurement Officer",999957.82
"H L DALIS INC","Office of the Chief Procurement Officer",999613.87
"INTELLIORB TECHNOLOGIES LLC","Office of the Chief Procurement Officer",998120
"CMC AND MAINTENANCE INCORPORATED","Office of the Chief Procurement Officer",997786.92
"SUDDUTH TIRE COMPANY INC","Office of the Chief Procurement Officer",997416.81
"DIAMONDBACK TACTICAL LLLP","Office of the Chief Procurement Officer",993920.16
"COMPLETE PACKAGING AND SHIPPING SUPPLIES INCORPORATED","Office of the Chief Procurement Officer",990114.7
"GLOBAL KNOWLEDGE TRAINING LLC","Office of the Chief Procurement Officer",987861.69
"POLARIS SALES INC","Office of the Chief Procurement Officer",987104.37
"NCR GOVERNMENT SYSTEMS LIMITED LIABILITY COMPANY","Office of the Chief Procurement Officer",981961.65
"PARK AMERICA INC","Office of the Chief Readiness Support Officer",930867
"FOX RELOCATION MANAGEMENT CORP","Office of the Chief Readiness Support Officer",593827.03
"MID-ATLANTIC PARKING SERVICES INC","Office of the Chief Readiness Support Officer",564042
"LONGVIEW-FEDCONSULTING JV LLC","Office of the Chief Readiness Support Officer",511932.12
"R H G GROUP INCORPORATED","Office of the Chief Readiness Support Officer",323648
"LEO A DALY COMPANY","Office of the Chief Readiness Support Officer",298576
"SENTRY SECURITY INTERNATIONAL INC","Office of the Chief Readiness Support Officer",288295.8
"GEARHART CONSTRUCTION SERVICES LLC","Office of the Chief Readiness Support Officer",125657.53
"TELLING YOUR STORY LLC","Office of the Chief Readiness Support Officer",119562.93
"CEEPCO CONTRACTING LLC","Office of the Chief Readiness Support Officer",76885.96
"ADVANCED RESOURCE TECHNOLOGIES INCORPORATED","Office of the Chief Security Officer",797421.61
"AKIRA TECHNOLOGIES INC","Office of the Chief Security Officer",743795.48
"CENTECH GROUP INC","Office of the Chief Security Officer",714731.36
"HP ENTERPRISE SERVICES LLC","Office of the Chief Security Officer",357565.94
"PANAMERICA COMPUTERS INC","Office of the Chief Security Officer",202116.55
"EXECUTIVE TECHNOLOGIES CORPORATION","Office of the Chief Security Officer",182151.02
"SMITHS DETECTION INC","Office of the Chief Security Officer",94050.82
"COLORID LLC","Office of the Chief Security Officer",72209.25
"MORPHO DETECTION LLC","Office of the Chief Security Officer",70000
"JLG INDUSTRIES INCORPORATED","Office of the Chief Security Officer",59764.5
"FACTSET RESEARCH SYSTEMS INC","Office of the Comptroller of the Currency",969643.64
"AURELIUS GROUP LLC","Office of the Comptroller of the Currency",969222.42
"PERFORMANCE ASSESSMENT NETWORK INC","Office of the Comptroller of the Currency",869852
"PHACIL INC","Office of the Comptroller of the Currency",864473.46
"INSTITUTE FOR DATA RESEARCH INC","Office of the Comptroller of the Currency",838162.03
"SAP NATIONAL SECURITY SERVICES INC","Office of the Comptroller of the Currency",813077.27
"MAGELLAN SOLUTIONS USA INC","Office of the Comptroller of the Currency",792741.72
"ENTERPRISE RISK MANAGEMENT INC","Office of the Comptroller of the Currency",699644.07
"PROMETRIC INC","Office of the Comptroller of the Currency",668089.14
"ZANTECH IT SERVICES INC","Office of the Comptroller of the Currency",661634.7
"BLOOMBERG FINANCE LP","Office of the Deputy Under Secretary for Congressional Affairs",62550
"MELTECH CORPORATION INC","Office of the Deputy Under Secretary for Congressional Affairs",59756.77
"CELLCO PARTNERSHIP DBA VERIZON WIRELESS","Office of the Deputy Under Secretary for Congressional Affairs",51044
"XEROX CORPORATION","Office of the Deputy Under Secretary for Congressional Affairs",47022
"MANAGEAIRE LLC","Office of the Deputy Under Secretary for Congressional Affairs",45758
"A TOUCH OF CLASS INTERIOR DESIGN LLC","Office of the Deputy Under Secretary for Congressional Affairs",22462.8
"HON COMPANY LLC THE","Office of the Deputy Under Secretary for Congressional Affairs",10079.46
"LEADERSHIP DIRECTORIES INC","Office of the Deputy Under Secretary for Congressional Affairs",5750
"FAX PLUS INCORPORATED","Office of the Deputy Under Secretary for Congressional Affairs",4553.04
"RAND CONSTRUCTION COMPANY","Office of the General Counsel",249803.38
"SIXT GMBH & CO AUTOVERMIETUNG KG","Office of the General Counsel",4272.75
"IMMERSIVE CONCEPTS LLC","Office of the Inspector General",835801.81
"HALFAKER AND ASSOCIATES LLC","Office of the Inspector General",822372.6
"INSIGHT PUBLIC SECTOR INC","Office of the Inspector General",794659.2
"COUNTERTRADE PRODUCTS INC","Office of the Inspector General",784532.46
"EC AMERICA INC","Office of the Inspector General",779691.2
"DELL FEDERAL SYSTEMS LP","Office of the Inspector General",743293.93
"ALVAREZ & ASSOCIATES LLC","Office of the Inspector General",737672.58
"TWM ASSOCIATES INC","Office of the Inspector General",720385.36
"ZL TECHNOLOGIES INC","Office of the Inspector General",709591
"AKIRA TECHNOLOGIES INC","Office of the Inspector General",695660.24
"CELLCO PARTNERSHIP DBA VERIZON WIRELESS","Office of the Inspector General for Tax Administration",723410.24
"THOMSON REUTERS SPECIAL SERVICES LLC","Office of the Inspector General for Tax Administration",475439.14
"GOLDBELT WOLF LLC","Office of the Inspector General for Tax Administration",379166.66
"WOLTERS KLUWER FINANCIAL SERVICES INC","Office of the Inspector General for Tax Administration",362309
"AMERICAN TOWER LP","Office of the Inspector General for Tax Administration",322120.56
"FCN INC","Office of the Inspector General for Tax Administration",249958.48
"KROLL ONTRACK LLC","Office of the Inspector General for Tax Administration",225650
"FEDSTORE CORPORATION","Office of the Inspector General for Tax Administration",216134.56
"PARKING MANAGEMENT INC","Office of the Inspector General for Tax Administration",208810.89
"TAM STATISTICAL SERVICES INC","Office of the Inspector General for Tax Administration",206913.55
"TECHNOLOGY SOLUTIONS PROVIDER INC","Office of the Secretary",992397.53
"ATHENA CONSTRUCTION GROUP INC","Office of the Secretary",795528.76
"FORCEPOINT FEDERAL LLC","Office of the Secretary",742726.58
"KNIGHTO LLC","Office of the Secretary",714836.55
"PAT TAYLOR & ASSOC INC","Office of the Secretary",664505.61
"ALTA SYSTEMS INC","Office of the Secretary",656430.87
"CRGT INC","Office of the Secretary",643119.56
"ROBBINS GIOIA LIMITED LIABILITY COMPANY","Office of the Secretary",626191.83
"WU CONSULTING LIMITED LIABILITY COMPANY","Office of the Secretary",597400
"ACTIONET INC","Office of the Secretary",595597.72
"WEST PUBLISHING CORPORATION","Office of the Solicitor",842472.84
"MATTHEW BENDER & COMPANY INC","Office of the Solicitor",773117
"BLUE TECH INC","Office of the Solicitor",632176.82
"CELLCO PARTNERSHIP DBA VERIZON WIRELESS","Office of the Solicitor",512822.98
"MARTEKD2DINC JV","Office of the Solicitor",470669.63
"SHI INTERNATIONAL CORP","Office of the Solicitor",454171.38
"DELOITTE FINANCIAL ADVISORY SERVICES LLP","Office of the Solicitor",425000
"GRADILLAS COURT REPORTERS INC","Office of the Solicitor",329114.22
"CARAHSOFT TECHNOLOGY CORP","Office of the Solicitor",281627.48
"LAW MANAGER INC","Office of the Solicitor",159771.4
"CELLCO PARTNERSHIP DBA VERIZON WIRELESS","Office of the Special Trustee for American Indians",742840.8
"SHI INTERNATIONAL CORP","Office of the Special Trustee for American Indians",693901.28
"XEROX CORPORATION","Office of the Special Trustee for American Indians",515143.46
"CENTURYTEL OF EAGLE INC","Office of the Special Trustee for American Indians",492754.3
"GB-SYS INC","Office of the Special Trustee for American Indians",425549.58
"LE COMPTE PC","Office of the Special Trustee for American Indians",378381.42
"SONORA & ASSOCIATES LLC","Office of the Special Trustee for American Indians",337479.47
"MELILLO CONSULTING INC","Office of the Special Trustee for American Indians",307222
"GALISTEO CONSULTING GROUP INC","Office of the Special Trustee for American Indians",304875.15
"OPTIVOR TECHNOLOGIES LLC","Office of the Special Trustee for American Indians",215318
"TROFHOLZ TECHNOLOGIES INC","Office of the Under Secretary for Management",999905.2
"MICROSOFT CORPORATION SITZ IN REDMOND CORPORATION","Office of the Under Secretary for Management",973000
"TFC CONSULTING INC","Office of the Under Secretary for Management",948830.71
"CUSTOMER VALUE PARTNERS INC","Office of the Under Secretary for Management",875453.22
"SUITE SOLUTIONS LIMITED LIABILITY COMPANY","Office of the Under Secretary for Management",863996.85
"COMPUTER INFORMATION SPECIALIS","Office of the Under Secretary for Management",835545.15
"EC AMERICA INC","Office of the Under Secretary for Management",774283.6
"CARNEY INCORPORATED","Office of the Under Secretary for Management",765709.65
"MANAGEMENT CONCEPTS INCORPORATED","Office of the Under Secretary for Management",765436
"DUN & BRADSTREET INC","Office of the Under Secretary for Management",737655.97
"ARCXIS BIOTECHNOLOGIES","Office of the Under Secretary for Science and Technology",999119.55
"SOLIDCORE SYSTEMS INCORPORATED","Office of the Under Secretary for Science and Technology",991193
"3U TECHNOLOGIES LLC","Office of the Under Secretary for Science and Technology",972673.39
"DELL FEDERAL SYSTEMS LP","Office of the Under Secretary for Science and Technology",958354.75
"OAK RIDGE ASSOCIATED UNIVERSITIES INCORPORATED","Office of the Under Secretary for Science and Technology",951653.85
"THOMAS D MORRIS INC","Office of the Under Secretary for Science and Technology",927460
"PANAMERICA COMPUTERS INC","Office of the Under Secretary for Science and Technology",916183.46
"COLORADO STATE UNIVERSITY","Office of the Under Secretary for Science and Technology",905453.56
"DYNAMIS INC","Office of the Under Secretary for Science and Technology",894016.01
"ENDEAVOR SYSTEMS INC","Office of the Under Secretary for Science and Technology",884982.85
"SAVVEE CONSULTING INC","Office of Workers Compensation Program",897876.82
"AVAR CONSULTING INC","Office of Workers Compensation Program",843016.86
"CONTRACT SOLUTIONS INC","Office of Workers Compensation Program",613377.8
"HARPER RAINS STOKES & KNIGHT P","Office of Workers Compensation Program",552325
"SIDEM LLC","Office of Workers Compensation Program",488072.8
"CHRISTOPHER GROSS CONSULTING INC","Office of Workers Compensation Program",426165.6
"CSRA LLC","Office of Workers Compensation Program",401170.48
"XEROX CORPORATION","Office of Workers Compensation Program",313703.8
"ELDER RESEARCH INCORPORATED","Office of Workers Compensation Program",304042.58
"YORK STENOGRAPHIC SERVICES INC","Office of Workers Compensation Program",231683.75
"PARAGON SYSTEMS INC","Offices, Boards and Divisions",984244.9
"BEACON GROUP LLC","Offices, Boards and Divisions",961270
"333 LP LLC","Offices, Boards and Divisions",960000
"POTOMAC ELECTRIC POWER COMPANY","Offices, Boards and Divisions",951852.87
"MAZARS LLP","Offices, Boards and Divisions",950000
"AE STRATEGIES LLC","Offices, Boards and Divisions",927897.6
"DLT SOLUTIONS LLC","Offices, Boards and Divisions",919560.79
"WITS SOLUTIONS INC","Offices, Boards and Divisions",914101.28
"SPRINT COMMUNICATIONS COMPANY LP","Offices, Boards and Divisions",912967.86
"MCNEAL PROFESSIONAL SERVICES INCORPORATED","Offices, Boards and Divisions",910356.47
"HILLS STERN MORLEY","Overseas Private Investment Corporation",997000
"CLIFTONLARSONALLEN LLP","Overseas Private Investment Corporation",991581
"KUTSCH DENISE LOWE","Overseas Private Investment Corporation",990000
"CREOAL CONSULTING LLC","Overseas Private Investment Corporation",987353.91
"HAYNES AND BOONE LLP","Overseas Private Investment Corporation",918720
"PRAGMATICS INC","Overseas Private Investment Corporation",866666.66
"ERNST AND YOUNG LLP","Overseas Private Investment Corporation",778101.6
"BLOOMBERG FINANCE LP","Overseas Private Investment Corporation",747138.46
"ALTIUS ASSOCIATES","Overseas Private Investment Corporation",718020
"ORRICK HERRINGTON & SUTCLIFFE LLP","Overseas Private Investment Corporation",700000
"OMARA INVESTIGATIONS","Peace Corps",851547.72
"FORUM ONE COMMUNICATIONS CORPORATION","Peace Corps",751843.37
"SYSTEGRA INC","Peace Corps",701667.6
"MINDPETAL SOFTWARE SOLUTIONS INC","Peace Corps",639733.58
"VE STEWART INVESTIGATIONS","Peace Corps",638299.97
"BOGART PROPERTIES INC","Peace Corps",561600
"MISCELLANEOUS FOREIGN AWARDEES","Peace Corps",561089.38
"OBXTEK INC","Peace Corps",538785.6
"KEARNEY & COMPANY PC","Peace Corps",494689.57
"ALTUS TECHNICAL SOLUTIONS LLC","Peace Corps",474746.5
"CONCORD CROSSROADS","Pension Benefit Guaranty Corporation",981322.9
"BLOOMBERG FINANCE LP","Pension Benefit Guaranty Corporation",967481.31
"T WHITE PARKER ASSOCIATES INCORPORATED","Pension Benefit Guaranty Corporation",913810.25
"RICOH USA INC","Pension Benefit Guaranty Corporation",894585.72
"STG INTERNATIONAL INC","Pension Benefit Guaranty Corporation",875822.68
"STEPTOE & JOHNSON LLP","Pension Benefit Guaranty Corporation",823023.92
"UNISTAR-SPARCO COMPUTERS INC","Pension Benefit Guaranty Corporation",818810
"PHASE ONE CONSULTING GROUP INC","Pension Benefit Guaranty Corporation",797253.32
"WILLIAMS ADLEY & COMPANY - DC LLP","Pension Benefit Guaranty Corporation",793020
"LONGFELLOW INVESTMENT MANAGEMENT CO LLC","Pension Benefit Guaranty Corporation",790000
"GUIDENT TECHNOLOGIES INC","Pipeline and Hazardous Materials Safety Administration",975092.8
"THOMSON REUTERS SCIENTIFIC INC","Pipeline and Hazardous Materials Safety Administration",833876.2
"MIDTOWN PERSONNEL INC","Pipeline and Hazardous Materials Safety Administration",820202.28
"AT&T MOBILITY LLC","Pipeline and Hazardous Materials Safety Administration",640160.5
"DLT SOLUTIONS LLC","Pipeline and Hazardous Materials Safety Administration",592655.06
"MYTHICS INC","Pipeline and Hazardous Materials Safety Administration",568649.25
"PC MALL GOV INCORPORATED","Pipeline and Hazardous Materials Safety Administration",556517
"STRATACOMM LLC","Pipeline and Hazardous Materials Safety Administration",507724.5
"DUN & BRADSTREET INC","Pipeline and Hazardous Materials Safety Administration",506686.36
"DELOITTE & TOUCHE LLP","Pipeline and Hazardous Materials Safety Administration",456094.43
"MATHEMATICA POLICY RESEARCH IN","President's Committee on Employment of the Handicapped",985766.76
"COFFEY CONSULTING LLC","President's Committee on Employment of the Handicapped",540000
"IMPAQ INTERNATIONAL LLC","President's Committee on Employment of the Handicapped",470721.48
"GRA INC","President's Committee on Employment of the Handicapped",155000
"PROXY PERSONNEL LLC","President's Committee on Employment of the Handicapped",55638.18
"FEDRESULTS INC","President's Committee on Employment of the Handicapped",33402.72
"CELLCO PARTNERSHIP DBA VERIZON WIRELESS","President's Committee on Employment of the Handicapped",24848.73
"CONFERENCE BOARD INC THE","President's Committee on Employment of the Handicapped",7000
"FAX PLUS INCORPORATED","President's Committee on Employment of the Handicapped",6637.92
"SOCIETY FOR HUMAN RESOURCE MANAGEMENT","President's Committee on Employment of the Handicapped",5300
"PHOENIX HOUSES OF THE MID-ATLANTIC INC","Pretrial Services Agency",875790.56
"SHI INTERNATIONAL CORP","Pretrial Services Agency",770252.81
"WASHINGTON METROPOLITAN AREA TRANSIT AUTHORITY","Pretrial Services Agency",769735.5
"FEDERAL PRISON INDUSTRIES INC","Pretrial Services Agency",766799.82
"ISOFT SOLUTIONS LLC","Pretrial Services Agency",672956.05
"R A P INC","Pretrial Services Agency",462529
"CELLCO PARTNERSHIP DBA VERIZON WIRELESS","Pretrial Services Agency",397661
"THOMAS SCIENTIFIC INC","Pretrial Services Agency",337618.12
"DIDLAKE INC","Pretrial Services Agency",293442.25
"IMMUNALYSIS CORP","Pretrial Services Agency",272260
"IMMIXTECHNOLOGY INC","Privacy and Civil Liberties Oversight Board",24904.88
"FAX PLUS INCORPORATED","Privacy and Civil Liberties Oversight Board",23246.73
"RED RIVER COMPUTER CO INC","Privacy and Civil Liberties Oversight Board",22990.99
"INTEGRATION TECHNOLOGIES GROUP INC","Privacy and Civil Liberties Oversight Board",2902.96
"NYSARC INC","Public Buildings Service",995524.68
"S&B INDUSTRIES GREENBRIDGE CONSTRUCTION JOINT VENTURE LLC","Public Buildings Service",989786.25
"ASSOCIATES ROOFING & CONSTRUCTION INC","Public Buildings Service",980325
"HAGERSTOWN GOODWILL INDUSTRIES INC","Public Buildings Service",979645.9
"CONSUMERS ENERGY COMPANY","Public Buildings Service",979564.5
"ENVIRONMENTAL SYSTEMS RESEARCH","Public Buildings Service",979166.83
"RLS CONSTRUCTION GROUP LLC","Public Buildings Service",977728.04
"JAMES R WALLS CONTRACTING COMPANY","Public Buildings Service",975015.21
"3QC INC","Public Buildings Service",975000
"UNION LIGHT AND POWER COMPANY","Public Buildings Service",974119.78
"GUROO LLC","Railroad Retirement Board",977759.97
"APPLIED INFORMATION SCIENCES INC","Railroad Retirement Board",970803.45
"FOUR LLC","Railroad Retirement Board",922630.19
"PARAGON SYSTEMS INC","Railroad Retirement Board",847240.76
"INTERNATIONAL BUSINESS MACHINE","Railroad Retirement Board",818260.84
"KONICA MINOLTA BUSINESS SOLUTIONS USA INC","Railroad Retirement Board",735975.62
"STERLING COMPUTERS CORPORATION","Railroad Retirement Board",711340.07
"COMMONWEALTH EDISON COMPANY","Railroad Retirement Board",639693.54
"SYSTEMS RESEARCH AND APPLICATI","Railroad Retirement Board",444982.37
"KONE INC","Railroad Retirement Board",326700
"EAGLE HILL CONSULTING LLC","Risk Management Agency",667006.4
"DELL MARKETING LP","Risk Management Agency",664041.61
"MONTEREY CONSULTANTS INC","Risk Management Agency",575926.02
"ECCO SELECT CORPORATION","Risk Management Agency",472453.55
"CLIFTONLARSONALLEN LLP","Risk Management Agency",389792.37
"REGENTS OF THE UNIVERSITY OF MINNESOTA","Risk Management Agency",225000
"HILLAH AYAYI E","Risk Management Agency",197295
"ROSS RENEE SUSAN","Risk Management Agency",193162.5
"WITT TIMOTHY BLAINE","Risk Management Agency",149164.49
"AVANTGARDE LLC","Risk Management Agency",123494.61
"NCALL RESEARCH INC","Rural Housing Service",822855
"DIAMOND IOTINA HARTMAN LLC","Rural Housing Service",700000
"CORELOGIC SOLUTIONS LLC","Rural Housing Service",632000
"CURTIS T & CO PC","Rural Housing Service",510000
"GARTNER INC","Rural Housing Service",348335
"LEVERICK AND MUSSELMAN LLC","Rural Housing Service",314191.52
"LISTA DESIGN STUDIO INC","Rural Housing Service",304980
"FIDELITY NATIONAL TITLE INSURANCE COMPANY","Rural Housing Service",285772.1
"REINVESTMENT FUND INCTHE","Rural Housing Service",269772.57
"BOSWELL & DUNLAP LLP","Rural Housing Service",245675
"SHOTCRETE MONTANA LLC","Saint Lawrence Seaway Development Corporation",349421.42
"PATTERSON-STEVENS INC","Saint Lawrence Seaway Development Corporation",272500
"QUALITY CONTROL SERVICES LLC","Saint Lawrence Seaway Development Corporation",269761.03
"CHIAMPOU TRAVIS BESAW AND KERSHNER LLP","Saint Lawrence Seaway Development Corporation",165400
"CAPITAL TECHNICAL RESCUE AND SAFETY CONSULTANTS LLC","Saint Lawrence Seaway Development Corporation",154075.5
"BAILEY BRIDGES INC","Saint Lawrence Seaway Development Corporation",111996
"FORD MOTOR COMPANY","Saint Lawrence Seaway Development Corporation",90650
"AVERNA TEST SYSTEMS INC","Saint Lawrence Seaway Development Corporation",89674.7
"HANES SUPPLY INC","Saint Lawrence Seaway Development Corporation",70494.84
"OPTIMATION TECHNOLOGY INC","Saint Lawrence Seaway Development Corporation",64749
"WELLS FARGO & COMPANY","Securities and Exchange Commission",955400
"GARTNER INC","Securities and Exchange Commission",938376.83
"FRIEDMAN LLP","Securities and Exchange Commission",921990
"ONPOINT CONSULTING INC","Securities and Exchange Commission",920348
"DLT SOLUTIONS LLC","Securities and Exchange Commission",917563.66
"GEORGETOWN UNIVERSITY THE","Securities and Exchange Commission",917225.53
"GRANITE TELECOMMUNICATIONS LLC","Securities and Exchange Commission",904854.07
"NATIONAL CAPITOL CONTRACTING LLC","Securities and Exchange Commission",889168.91
"CONVERGENCE TECHNOLOGY CONSULTING LLC","Securities and Exchange Commission",869731
"RED RIVER COMPUTER CO INC","Securities and Exchange Commission",869497
"MICROSOFT CORPORATION SITZ IN REDMOND CORPORATION","Selective Service System",425000
"FIFTH ESTATE COMMUNICATIONS LLC","Selective Service System",291704.42
"CHEROKEE NATION STRATEGIC PROGRAMS LLC","Selective Service System",203770
"AFFORDABLE INTERIOR SYSTEMS INC","Selective Service System",161485
"POGO INC","Selective Service System",86237
"ANNAMS SYSTEMS CORPORATION","Selective Service System",66385.95
"MCKENZIE CHRISTOPHER ASSOCIATES INC","Selective Service System",42895
"DELL FEDERAL SYSTEMS LP","Selective Service System",42832
"FEDERAL PRISON INDUSTRIES INC","Selective Service System",33000
"IMMIXTECHNOLOGY INC","Selective Service System",31588.25
"I4 NOW SOLUTIONS INC","Small Business Administration",960239.28
"COUNTERTRADE PRODUCTS INC","Small Business Administration",728047.21
"DISTRICT COMMUNICATIONS GROUP LLC THE","Small Business Administration",726741.41
"VEE MODEL MANAGEMENT CONSULTING INC","Small Business Administration",702278.42
"NISGAA DATA SYSTEMS LLC","Small Business Administration",642800.38
"GLOBAL EVALUATION & APPLIED RESEARCH SOLUTIONS GEARS INC","Small Business Administration",630000
"METRO MAIL SERVICES INC","Small Business Administration",629382
"CARTRIDGE TECHNOLOGIES INC","Small Business Administration",626282.45
"CONSUMMATE COMPUTER CONSULTANTS SYSTEMS LLC","Small Business Administration",625414.39
"KASTLE SYSTEMS LLC","Small Business Administration",624545.96
"CINNABAR CALIFORNIA INC","Smithsonian Institution",996000
"AEROSOL MONITORING & ANALYSIS","Smithsonian Institution",904956.88
"WENDY EVANS JOSEPH ARCHITECT PC","Smithsonian Institution",857839.5
"BUILDING MAINTENANCE SERVICE LLC","Smithsonian Institution",840364.78
"HUANG-GAGHAN JOINT VENTURE","Smithsonian Institution",827164.55
"DIRECT ENERGY BUSINESS LLC","Smithsonian Institution",778000
"CONSTRUCTORA ROGERS SA CONROSA","Smithsonian Institution",773313.84
"FORUM ONE COMMUNICATIONS CORPORATION","Smithsonian Institution",743423.5
"FEDERAL RADIO SERVICE CORP","Smithsonian Institution",732341.1
"COHNREZNICK LLP","Smithsonian Institution",728942.84
"SHI INTERNATIONAL CORP","Social Security Administration",993291.83
"RUGGCO INC","Social Security Administration",987813.09
"HEALTH DEPARTMENT OKLAHOMA STATE","Social Security Administration",979898.32
"JE HURLEY INC","Social Security Administration",947112
"ALS INTERNATIONAL INC","Social Security Administration",945972.49
"APOLLO CONSTRUCTION COMPANY INC","Social Security Administration",934342
"DEPARTMENT OF HEALTH UTAH","Social Security Administration",919655.9
"FAVORITE CONSULTANTS INC","Social Security Administration",919491.54
"TRANSCANADA POWER MARKETING LTD","Social Security Administration",913000
"BANNEKER VENTURES LLC","Social Security Administration",908871.74
"INDEV","Special Inspector General for the Troubled Asset Relief Program (TARP)",978982.2
"COMPREHENSIVE HEALTH SERVICES INC","Special Inspector General for the Troubled Asset Relief Program (TARP)",260000
"LIFE SAFETY GROUP LLC","Special Inspector General for the Troubled Asset Relief Program (TARP)",245580
"COLONIAL PARKING INC","Special Inspector General for the Troubled Asset Relief Program (TARP)",226306.98
"CORELOGIC SOLUTIONS LLC","Special Inspector General for the Troubled Asset Relief Program (TARP)",172261
"ADVANCED COMPUTER CONCEPTS INC","Special Inspector General for the Troubled Asset Relief Program (TARP)",138819.6
"K TEYA MOORE & ASSOCIATES PA","Special Inspector General for the Troubled Asset Relief Program (TARP)",137020
"SNL FINANCIAL LC","Special Inspector General for the Troubled Asset Relief Program (TARP)",130000
"MINBURN TECHNOLOGY GROUP LLC","Special Inspector General for the Troubled Asset Relief Program (TARP)",119621.63
"GOLDBELT WOLF LLC","Special Inspector General for the Troubled Asset Relief Program (TARP)",75614.75
"INNOVATIVE NONPROFIT SOLUTIONS GROUP LLC THE","Substance Abuse and Mental Health Services Administration",939487
"DEANDER ASSOCIATES LLC","Substance Abuse and Mental Health Services Administration",877861.68
"XA SYSTEMS LLC","Substance Abuse and Mental Health Services Administration",789868.8
"HISPANIC ASSOCIATION OF COLLEGES AND UNIVERSITIES","Substance Abuse and Mental Health Services Administration",748706.76
"CLARKE LEIPER PLLC","Substance Abuse and Mental Health Services Administration",652690
"TFC CONSULTING INC","Substance Abuse and Mental Health Services Administration",390444
"ALTARUM INSTITUTE","Substance Abuse and Mental Health Services Administration",337938
"LYTLE BEHAVIORAL HEALTH LLC","Substance Abuse and Mental Health Services Administration",337343
"MISCELLANEOUS FOREIGN AWARDEES","Substance Abuse and Mental Health Services Administration",25807.13
"HENDALL INC","Substance Abuse and Mental Health Services Administration",25000
"ROBINS & MORTON GROUP THE","Surface Transportation Board",543542.79
"BATTELLE MEMORIAL INSTITUTE","Surface Transportation Board",343498
"GOVSOLUTIONS INC","Surface Transportation Board",198036.01
"WASHINGTON REFRIGERATION CO INC","Surface Transportation Board",65089.2
"AMSTAR INC","Surface Transportation Board",33210.3
"AVIAR COMMERCIAL SPACE PLANNING AND DESIGN INCORPORATED","Surface Transportation Board",14555.47
"TCS OF AMERICA ENTERPRISES LLC","Surface Transportation Board",6474.36
"JIMENEZ ENGINEERING SOLUTIONS LLC","Surface Transportation Board",4500
"FLEXION INC","Technology Transformation Service",553033.78
"NUAXIS LLC","Technology Transformation Service",551810
"EQUIFAX INFORMATION SERVICES LLC","Technology Transformation Service",265424
"MINBURN TECHNOLOGY GROUP LLC","Technology Transformation Service",223380
"SEAMON CORPORATION","Technology Transformation Service",221244.13
"METROSTAR SYSTEMS INC","Technology Transformation Service",219398.4
"NCI INFORMATION SYSTEMS INC","Technology Transformation Service",213688.32
"VERIS GROUP LLC","Technology Transformation Service",194275.3
"APPLIED INFORMATION SCIENCES INC","Technology Transformation Service",163102.6
"SILOSMASHERS INC","Technology Transformation Service",119000
"AMERICAN UNIVERSITY","The Council of the Inspectors General on Integrity and Efficiency",595294
"CANTON GROUP LIMITED LIABILITY COMPANY","The Council of the Inspectors General on Integrity and Efficiency",569914.48
"APPLY SYNERGIES LLC","The Council of the Inspectors General on Integrity and Efficiency",238933
"TECHANAX LLC","The Council of the Inspectors General on Integrity and Efficiency",72371.52
